time,temperature,temperature_filtered
0.513,22.27,22.569153020892134
0.913,22.87,22.598627893845272
1.313,22.57,22.624590032393225
1.713,22.57,22.647039436535994
2.113,22.87,22.665976106273583
2.513,22.57,22.681400041605986
2.913,22.87,22.693311242533206
3.313,22.87,22.701709709055244
3.713,22.57,22.706595441172094
4.113,22.87,22.707968438883768
4.513,22.57,22.705828702189923
4.913,22.57,22.666502124877073
5.313,22.57,22.665129127165404
5.713,22.87,22.625312193526963
6.113,22.57,22.60667865315429
6.513,22.57,22.609228506047394
6.913,22.57,22.573334423013723
7.313,22.57,22.585691402418757
7.713,22.57,22.58667211506995
8.113,22.57,22.5762765609673
8.513,22.57,22.614132069303356
8.913,22.57,22.630313828048045
9.313,22.57,22.641592023536766
9.713,22.87,22.647966655769526
10.113,22.57,22.676505393919243
10.513,22.57,22.68435109512879
10.913,22.87,22.688273945733563
11.313,22.57,22.688273945733563
11.713,22.87,22.68435109512879
12.113,22.87,22.676505393919246
12.513,22.57,22.664736842104926
12.913,22.57,22.632275253350432
13.313,22.57,22.621977770512903
13.713,22.57,22.59000653808401
14.113,22.57,22.58951618175841
14.513,22.57,22.57666884602778
14.913,22.57,22.550483818240924
15.313,22.57,22.563135011441315
15.713,22.57,22.55303367113402
16.113,22.57,22.58814318404674
16.513,22.57,22.649731938541674
16.913,22.87,22.692000653808098
17.313,22.57,22.754864334749584
17.713,22.87,22.83440013076135
18.113,22.87,22.910474011114403
18.513,22.87,23.004380516508327
18.913,23.17,23.111248774108844
19.313,23.17,23.209996730957485
19.713,23.47,23.320970905524334
20.113,23.47,23.422700228832603
20.513,23.47,23.533713631905503
20.913,23.77,23.63106570774728
21.313,23.77,23.744655116050644
21.713,23.77,23.848290290944398
22.113,24.06,23.977211507028084
22.513,24.06,24.091379535795657
22.913,24.06,24.207525335076465
23.313,24.35,24.3290912062762
23.713,24.35,24.455233736514842
24.113,24.63,24.588934292252006
24.513,24.63,24.730317097090186
24.913,24.92,24.855920235370668
25.313,25.2,25.007920889179104
25.713,25.2,25.16127819548835
26.113,25.2,25.307721477606684
26.513,25.48,25.450052304674358
26.913,25.48,25.573121935272592
27.313,25.75,25.7072965021245
27.713,25.75,25.846175220659966
28.113,26.03,25.95119646943407
28.513,26.03,26.06384439359229
28.913,26.3,26.161242236024457
29.313,26.3,26.2477966655766
29.713,26.3,26.3337986270019
30.113,26.3,26.42086302713266
30.513,26.57,26.4873618829679
30.913,26.84,26.559539065053546
31.313,26.57,26.637322654461848
31.713,26.57,26.72266100032651
32.113,26.84,26.81607388035266
32.513,26.84,26.92100359594599
32.913,26.84,27.022072572735787
33.313,27.1,27.14452762340594
33.713,27.37,27.287299771166644
34.113,27.37,27.427881660673016
34.513,27.63,27.579480222294457
34.913,27.89,27.74313174239906
35.313,27.89,27.927401111473923
35.713,28.15,28.10617195161776
36.113,28.15,28.271019941156823
36.513,28.4,28.44309905197735
36.913,28.66,28.619051977770088
37.313,28.91,28.78805818895021
37.713,28.91,28.9493396534811
38.113,29.16,29.123622098724645
38.513,29.16,29.272523700555304
38.913,29.41,29.41708401438335
39.313,29.66,29.564432821182955
39.713,29.66,29.710294213794917
40.113,29.9,29.85421706439969
40.513,30.15,29.97947695325225
40.913,30.15,30.106214449165947
41.313,30.15,30.253517489375167
41.713,30.39,30.406253677671994
42.113,30.39,30.560967636482054
42.513,30.63,30.717126511931546
42.913,30.87,30.871340307289508
43.313,31.1,31.023141549525526
43.713,31.1,31.191762013729516
44.113,31.34,31.353942464857337
44.513,31.58,31.509195815625553
44.913,31.81,31.665864661653664
45.313,31.81,31.820670153644507
45.713,32.04,31.964458973520287
46.113,32.04,32.096874795684386
46.513,32.27,32.20383458646569
46.913,32.27,32.31700228832904
47.313,32.5,32.435560640731794
47.713,32.5,32.54627656096716
48.113,32.5,32.63504740111099
48.513,32.73,32.722991173585655
48.913,32.95,32.817531873160675
49.313,32.95,32.9361261850273
49.713,32.95,33.04554429552092
50.113,33.18,33.16529584831596
50.513,33.4,33.28187316116328
50.913,33.4,33.42552795031006
51.313,33.4,33.562409284079266
51.713,33.62,33.71196469434406
52.113,33.85,33.87093494606031
52.513,34.07,34.018231448185176
52.913,34.28,34.183517489375106
53.313,34.28,34.35276234063368
53.713,34.5,34.5116247139583
54.113,34.72,34.669114089571245
54.513,34.93,34.82430532853823
54.913,34.93,34.99326577312796
55.313,35.15,35.15454396861667
55.713,35.36,35.28724746649179
56.113,35.36,35.42033344230089
56.513,35.57,35.54195488721752
56.913,35.57,35.66812683883569
57.313,35.78,35.79719516181706
57.713,35.99,35.89806472703445
58.113,35.99,36.001229159855626
58.513,36.2,36.09547564563529
58.913,36.2,36.19797973193801
59.313,36.2,36.278430859757556
59.713,36.41,36.35692710035906
60.113,36.41,36.450709382150485
60.513,36.61,36.54127165740384
60.913,36.61,36.62961425302332
61.313,36.61,36.70412880026098
61.713,36.82,36.79441974501416
62.113,36.82,36.88981366459573
62.513,37.02,37.00112781954832
62.913,37.02,37.10088917946987
63.313,37.23,37.195632559659465
63.713,37.43,37.284932984634956
64.113,37.43,37.39783916312465
64.513,37.43,37.52653481529856
64.913,37.63,37.65323635174838
65.313,37.83,37.76758417783533
65.713,37.83,37.87949656750516
66.113,38.03,37.95709382150974
66.513,37.83,38.07172605426553
66.913,38.23,38.20905851585429
67.313,38.43,38.32360902255583
67.713,38.63,38.41188623733189
68.113,38.63,38.53477933965291
68.513,38.43,38.667492644654544
68.913,38.63,38.77578947368364
69.313,38.82,38.87714285714228
69.713,38.82,38.96725727361825
70.113,39.6,39.050967636481936
70.513,39.21,39.165812356978826
70.913,39.02,39.22656423667808
71.313,39.21,39.33303040209161
71.713,39.79,39.445547564563
72.113,39.6,39.56995096436685
72.513,39.41,39.70468453742994
72.913,39.6,39.814122262176596
73.313,39.79,39.92434782608636
73.713,40.17,40.049738476625755
74.113,40.36,40.1615037593979
74.513,40.17,40.337564563582276
74.913,40.74,40.492984635501195
75.313,40.55,40.61438051650806
75.713,40.74,40.75867930696246
76.113,40.93,40.896629617521455
76.513,40.93,41.01149395227137
76.913,41.11,41.105047401110866
77.313,41.3,41.196489048708116
77.713,41.3,41.27377574370648
78.113,41.48,41.3597090552462
78.513,41.48,41.45914024190851
78.913,41.48,41.52757437070877
79.313,41.67,41.62536122915924
79.713,41.3,41.71313174239886
80.113,41.85,41.80136319058454
80.513,42.03,41.90562602157505
80.913,42.03,41.988604118992505
81.313,42.03,42.081768551813695
81.713,42.22,42.19982347172216
82.113,42.4,42.33455704478525
82.513,42.4,42.490395554102015
82.913,42.58,42.60604772801506
83.313,42.76,42.70267407649496
83.713,42.76,42.820758417782955
84.113,42.94,42.89861719516118
84.513,42.94,43.013383458645976
84.913,43.3,43.13343249427854
85.313,43.47,43.25645635828638
85.713,43.47,43.36480876103237
86.113,43.3,43.483700555736526
86.513,43.12,43.60169663288591
86.913,43.65,43.70705132396143
87.313,44.0,43.82326904217
87.713,44.0,43.93898005884211
