time,power ratio,temperature
133.044,0.68,65.78
133.544,0.68,64.99
134.044,0.68,65.51
134.544,0.68,65.51
135.044,0.68,65.51
135.544,0.65,65.51
136.044,0.65,65.91
136.544,0.65,65.91
137.044,0.65,66.17
137.544,0.65,66.57
138.044,0.64,66.17
138.544,0.64,66.7
139.044,0.64,66.83
139.544,0.64,66.7
140.044,0.64,66.44
140.544,0.62,66.83
141.044,0.62,66.83
141.544,0.62,67.35
142.044,0.62,66.96
142.544,0.62,67.35
143.044,0.6,67.48
143.544,0.6,67.74
144.044,0.6,67.87
144.544,0.6,67.61
145.044,0.6,67.74
145.544,0.57,67.87
146.044,0.57,68.26
146.544,0.57,68.78
147.044,0.57,68.65
147.544,0.57,68.65
148.044,0.54,68.65
148.544,0.54,69.04
149.044,0.54,69.17
149.544,0.54,69.3
150.044,0.54,69.3
150.544,0.54,69.56
151.044,0.54,69.69
151.544,0.54,70.07
152.044,0.54,70.33
152.544,0.54,70.07
153.044,0.53,70.2
153.544,0.53,70.2
154.044,0.53,70.46
154.544,0.53,70.2
155.044,0.53,70.46
155.544,0.48,70.71
156.044,0.48,70.71
156.544,0.48,70.97
157.044,0.48,70.97
157.544,0.48,71.48
158.044,0.47,71.61
158.544,0.47,71.48
159.044,0.47,71.74
159.544,0.47,71.74
160.044,0.47,72.25
160.544,0.45,72.12
161.044,0.45,71.74
161.544,0.45,72.12
162.044,0.45,72.25
162.544,0.45,72.5
163.044,0.44,71.99
163.544,0.44,72.5
164.044,0.44,72.25
164.544,0.44,72.63
165.044,0.44,72.5
165.544,0.44,72.63
166.044,0.44,72.89
166.544,0.44,72.63
167.044,0.44,73.01
167.544,0.44,73.01
168.044,0.43,73.27
168.544,0.43,73.01
169.044,0.43,73.27
169.544,0.43,72.89
170.044,0.43,73.27
170.544,0.4,73.27
171.044,0.4,73.4
171.544,0.4,73.52
172.044,0.4,73.4
172.544,0.4,73.65
173.044,0.41,73.65
173.544,0.41,73.52
174.044,0.41,73.9
174.544,0.41,73.78
175.044,0.41,73.9
175.544,0.39,74.03
176.044,0.39,74.16
176.544,0.39,74.16
177.044,0.39,73.9
177.544,0.39,74.41
178.044,0.38,74.67
178.544,0.38,74.54
179.044,0.38,74.54
179.544,0.38,74.79
180.044,0.38,74.79
180.544,0.36,75.17
181.044,0.36,75.05
181.544,0.36,74.79
182.044,0.36,75.17
182.544,0.36,75.43
183.044,0.34,75.17
183.544,0.34,75.43
184.044,0.34,75.55
184.544,0.34,75.55
185.044,0.34,75.8
185.544,0.33,75.68
186.044,0.33,75.8
186.544,0.33,75.8
187.044,0.33,76.06
187.544,0.33,76.44
188.044,0.31,75.93
188.544,0.31,75.93
189.044,0.31,76.44
189.544,0.31,76.31
190.044,0.31,76.06
190.544,0.31,76.44
191.044,0.31,76.69
191.544,0.31,76.44
192.044,0.31,76.18
192.544,0.31,76.56
193.044,0.3,76.82
193.544,0.3,76.44
194.044,0.3,76.69
194.544,0.3,76.94
195.044,0.3,76.82
195.544,0.3,76.82
196.044,0.3,76.94
196.544,0.3,76.82
197.044,0.3,77.32
197.544,0.3,77.07
198.044,0.3,76.94
198.544,0.3,77.2
199.044,0.3,77.32
199.544,0.3,77.07
200.044,0.3,77.58
200.544,0.3,77.45
201.044,0.3,77.32
201.544,0.3,77.07
202.044,0.3,77.32
202.544,0.3,77.32
203.044,0.28,77.7
203.544,0.28,77.58
204.044,0.28,77.45
204.544,0.28,77.32
205.044,0.28,77.32
205.544,0.28,77.83
206.044,0.28,77.7
206.544,0.28,77.32
207.044,0.28,78.08
207.544,0.28,77.95
208.044,0.27,77.83
208.544,0.27,77.95
209.044,0.27,77.83
209.544,0.27,77.83
210.044,0.27,77.95
210.544,0.27,78.33
211.044,0.27,78.08
211.544,0.27,78.33
212.044,0.27,77.95
212.544,0.27,78.21
213.044,0.26,78.46
213.544,0.26,78.33
214.044,0.26,78.21
214.544,0.26,78.59
215.044,0.26,78.59
215.544,0.24,78.33
216.044,0.24,79.09
